epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7815,1.48941,2.5291,1.47382,0.4259,0.33403,0.31892,0.15469,1.63619,3.07371,1.73121,0.000465978,0.000465978,0.000465978
2,75.6923,1.42447,1.52401,1.42322,0.22395,0.4588,0.22847,0.11007,1.72131,8.84981,1.78106,0.000937647,0.000937647,0.000937647
3,113.54,1.46673,1.53516,1.44783,0.26892,0.38792,0.20317,0.08382,2.21228,10.7386,2.69092,0.0014046,0.0014046,0.0014046
4,151.003,1.44404,1.49639,1.44076,0.48386,0.41391,0.37247,0.17015,1.85946,4.62085,1.98244,0.00140778,0.00140778,0.00140778
5,188.266,1.43358,1.43115,1.43457,0.44667,0.42069,0.34482,0.16887,1.9208,2.18003,1.94684,0.00140071,0.00140071,0.00140071
6,225.516,1.37366,1.31743,1.39583,0.48368,0.43525,0.39065,0.20208,1.6439,1.98933,1.69544,0.00139363,0.00139363,0.00139363
7,262.681,1.36162,1.27267,1.38888,0.61078,0.61352,0.63025,0.38683,1.42177,1.47641,1.39805,0.00138656,0.00138656,0.00138656
8,299.72,1.33803,1.22241,1.36699,0.65391,0.58489,0.6076,0.36927,1.54067,1.47149,1.49919,0.00137949,0.00137949,0.00137949
9,336.656,1.30816,1.17594,1.35256,0.71785,0.59559,0.6647,0.41498,1.45392,1.32955,1.43022,0.00137241,0.00137241,0.00137241
10,373.654,1.28895,1.1198,1.34062,0.75541,0.76566,0.80364,0.52823,1.28704,0.97792,1.29822,0.00136534,0.00136534,0.00136534
11,410.696,1.27194,1.0899,1.33706,0.78841,0.76877,0.80549,0.53693,1.26508,0.92032,1.28773,0.00135826,0.00135826,0.00135826
12,447.821,1.26915,1.07285,1.32159,0.83602,0.77415,0.8342,0.57115,1.21466,0.84651,1.24543,0.00135119,0.00135119,0.00135119
13,484.641,1.23045,1.02287,1.29958,0.82821,0.76854,0.84648,0.59009,1.20534,0.89365,1.25883,0.00134412,0.00134412,0.00134412
14,521.676,1.22204,1.00122,1.30086,0.83407,0.80387,0.86931,0.61082,1.16828,0.77931,1.21205,0.00133704,0.00133704,0.00133704
15,558.377,1.2286,0.97726,1.29788,0.8499,0.81752,0.87382,0.60668,1.17631,0.79341,1.23449,0.00132997,0.00132997,0.00132997
16,595.607,1.19707,0.94719,1.27337,0.82855,0.7768,0.83932,0.58058,1.18164,0.8566,1.20525,0.0013229,0.0013229,0.0013229
17,632.491,1.1882,0.92787,1.2652,0.83167,0.82554,0.87658,0.62989,1.11781,0.73592,1.17302,0.00131582,0.00131582,0.00131582
18,669.273,1.18186,0.9273,1.26022,0.82973,0.8219,0.87435,0.63303,1.13156,0.75534,1.18875,0.00130875,0.00130875,0.00130875
19,706.609,1.15248,0.89638,1.24381,0.8329,0.83013,0.87966,0.6222,1.1394,0.73975,1.18803,0.00130168,0.00130168,0.00130168
20,743.413,1.17023,0.90524,1.25836,0.83234,0.79792,0.86262,0.61045,1.13978,0.79894,1.18631,0.0012946,0.0012946,0.0012946
21,780,1.17424,0.89651,1.24411,0.85847,0.82618,0.88865,0.64163,1.11374,0.70254,1.16177,0.00128753,0.00128753,0.00128753
22,817.058,1.1524,0.88604,1.2458,0.88425,0.86545,0.91152,0.6616,1.11319,0.65438,1.15871,0.00128046,0.00128046,0.00128046
23,853.995,1.14718,0.85391,1.23912,0.86291,0.85088,0.89848,0.647,1.12382,0.6725,1.17768,0.00127338,0.00127338,0.00127338
